Date (UTC),Timestamp (UTC),<500,500-524,525-549,550-574,575-599,600-624,625-649,650-674,675-699,700-724,725-749,750+,<250,250-274,275-299,300-324,325-349,350-374,375-399,400-424,425-449,450-474,475-499,600+,<300,300-349,350-399,400-449,450-499,500-549,550-599,600-649,650-699,700-749,750-799,800+,<450,750-774,775-799,<100,100-109,110-119,120-129,130-139,140-149,150-159,160-169,170-179,180-189,190-199,200-209,210-219,220-229,230-239,240-249,250+,<800,800-824,825-849,850-874,875-899,900-924,925-949,950-974,975-999,1000-1024,1025-1049,1050-1074,1075-1099,1100+,800-849,850-899,900-949,950-999,1000+,<400,700+,125–149,150–174,175–199,200–224,225–249,250–274,275–299,300–324,325–349,350–374,375–399,400+,100–124,550+,900+,650+,<200,200-224,225-249,450+
2025-01-17 18:00:00,1737136804,,0.13,0.11,,,,,,,,,,,,,0.105,0.105,0.135,0.145,0.19,0.185,0.2,0.145,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,,
2025-01-17 19:00:00,1737140403,,0.11,0.085,,,,,,,,,,,,,0.033,0.06,0.065,0.11,0.15,0.115,0.115,0.115,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,
2025-01-17 20:00:00,1737144003,,0.095,0.065,,,,,,,,,,,,,0.033,0.07,0.065,0.115,0.16,0.125,0.11,0.095,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,,
2025-01-17 21:00:00,1737147604,,0.09,0.05,,,,,,,,,,,,,0.0195,0.032,0.065,0.125,0.175,0.155,0.105,0.085,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,
2025-01-17 22:00:00,1737151203,,0.085,0.039,,,,,,,,,,,,,0.031,0.0425,0.08,0.145,0.17,0.165,0.11,0.075,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,
2025-01-17 23:00:00,1737154804,,0.07,0.074,,,,,,,,,,,,,0.046,0.0445,0.085,0.135,0.175,0.16,0.105,0.07,,0.0415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,
2025-01-18 00:00:00,1737158404,,0.075,0.074,,,,,,,,,,,,,0.0505,0.046,0.085,0.135,0.175,0.16,0.105,0.08,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,
2025-01-18 01:00:00,1737162004,,0.04,0.018,,,,,,,,,,,,,0.0575,0.0525,0.075,0.135,0.175,0.125,0.105,0.075,,0.1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,
2025-01-18 02:00:00,1737165604,,0.055,0.0245,,,,,,,,,,,,,0.0705,0.0645,0.09,0.115,0.125,0.125,0.1,0.07,,0.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,
2025-01-18 03:00:00,1737169204,,0.05,0.019,,,,,,,,,,,,,0.0785,0.07,0.09,0.11,0.13,0.115,0.095,0.07,,0.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,
2025-01-18 04:00:00,1737172804,,0.055,0.0255,,,,,,,,,,,,,0.0765,0.075,0.095,0.11,0.13,0.115,0.1,0.07,,0.0975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
