"Date (UTC)","Timestamp (UTC)","<400","400-449","450-499","500-549","550-599","600-649","650-699","700-749","750-799","800-849","850-899","900+"
"02-21-2025 18:00","1740160804","0.055","0.045","0.075","0.105","0.105","0.125","0.15","0.115","0.105","0.075","0.055","0.055"
"02-21-2025 19:00","1740164404","0.055","0.045","0.075","0.115","0.14","0.135","0.13","0.105","0.095","0.065","0.055","0.055"
"02-21-2025 20:00","1740168004","0.035","0.045","0.075","0.095","0.125","0.135","0.135","0.125","0.105","0.075","0.055","0.055"
"02-21-2025 21:00","1740171604","0.0325","0.033","0.055","0.085","0.105","0.135","0.135","0.135","0.125","0.095","0.055","0.035"
"02-21-2025 22:00","1740175204","0.0265","0.017","0.0265","0.085","0.11","0.135","0.135","0.14","0.135","0.115","0.065","0.0555"
"02-21-2025 23:00","1740178804","0.02","0.0155","0.029","0.075","0.105","0.125","0.125","0.135","0.135","0.11","0.065","0.0405"
"02-22-2025 00:00","1740182405","0.022","0.027","0.029","0.075","0.105","0.13","0.13","0.145","0.135","0.125","0.065","0.0425"
"02-22-2025 01:00","1740186004","0.016","0.0185","0.0285","0.075","0.11","0.135","0.13","0.145","0.14","0.15","0.07","0.044"
"02-22-2025 02:00","1740189604","0.022","0.019","0.0285","0.05","0.08","0.135","0.135","0.145","0.155","0.145","0.085","0.0485"
"02-22-2025 03:00","1740193204","0.0195","0.023","0.028","0.065","0.085","0.135","0.125","0.145","0.155","0.145","0.075","0.046"
"02-22-2025 04:00","1740196804","0.0155","0.026","0.033","0.07","0.09","0.135","0.135","0.145","0.145","0.135","0.08","0.0425"
"02-22-2025 05:00","1740200404","0.017","0.0195","0.028","0.07","0.105","0.135","0.135","0.145","0.15","0.125","0.07","0.0375"
"02-22-2025 06:00","1740204004","0.0175","0.0155","0.023","0.055","0.105","0.135","0.125","0.145","0.145","0.135","0.065","0.0365"
"02-22-2025 07:00","1740207604","0.015","0.0165","0.042","0.065","0.085","0.145","0.155","0.155","0.135","0.125","0.065","0.0395"
"02-22-2025 08:00","1740211204","0.023","0.0185","0.0385","0.065","0.095","0.155","0.165","0.155","0.135","0.105","0.055","0.0225"
"02-22-2025 09:00","1740214804","0.0165","0.0115","0.028","0.065","0.085","0.16","0.155","0.165","0.145","0.12","0.055","0.0235"
"02-22-2025 10:00","1740218404","0.0145","0.011","0.0235","0.065","0.085","0.155","0.15","0.165","0.165","0.12","0.065","0.028"
"02-22-2025 11:00","1740222005","0.0105","0.011","0.0205","0.055","0.085","0.145","0.15","0.155","0.155","0.135","0.075","0.037"
"02-22-2025 12:00","1740225605","0.006","0.0055","0.0195","0.055","0.08","0.145","0.155","0.175","0.15","0.135","0.075","0.038"
"02-22-2025 13:00","1740229204","0.0055","0.006","0.0185","0.055","0.075","0.145","0.155","0.165","0.155","0.135","0.075","0.0505"
"02-22-2025 14:00","1740232804","0.0055","0.0055","0.0175","0.045","0.065","0.145","0.165","0.175","0.155","0.135","0.075","0.053"
"02-22-2025 15:00","1740236404","0.0055","0.005","0.014","0.0355","0.07","0.145","0.155","0.165","0.155","0.135","0.075","0.0755"
"02-22-2025 16:00","1740240004","0.005","0.0065","0.015","0.0485","0.06","0.155","0.145","0.165","0.155","0.135","0.08","0.0585"
"02-22-2025 17:00","1740243604","0.0095","0.008","0.017","0.0405","0.06","0.145","0.155","0.165","0.16","0.135","0.08","0.066"
"02-22-2025 18:00","1740247204","0.0095","0.006","0.014","0.032","0.0335","0.135","0.155","0.165","0.155","0.155","0.085","0.085"
"02-22-2025 19:00","1740250804","0.0105","0.0045","0.0125","0.028","0.0375","0.115","0.145","0.165","0.165","0.16","0.09","0.101"
"02-22-2025 20:00","1740254404","0.007","0.0015","0.0115","0.0235","0.02","0.115","0.145","0.165","0.155","0.16","0.115","0.114"
"02-22-2025 21:00","1740258005","0.005","0.002","0.0055","0.012","0.0265","0.115","0.135","0.155","0.155","0.155","0.145","0.117"
"02-22-2025 22:00","1740261604","0.0045","0.0025","0.003","0.005","0.014","0.115","0.115","0.145","0.165","0.165","0.145","0.149"
"02-22-2025 23:00","1740265204","0.005","0.0035","0.0035","0.0085","0.022","0.075","0.115","0.135","0.145","0.15","0.145","0.2295"
"02-23-2025 00:00","1740268804","0.005","0.002","0.006","0.004","0.0175","0.06","0.105","0.1","0.13","0.155","0.165","0.2845"
"02-23-2025 01:00","1740272405","0.0055","0.002","0.0025","0.008","0.0145","0.05","0.105","0.11","0.135","0.165","0.18","0.262"
"02-23-2025 02:00","1740276004","0.0035","0.0015","0.0035","0.007","0.0135","0.045","0.105","0.11","0.135","0.165","0.175","0.268"
"02-23-2025 03:00","1740279604","0.0015","0.0015","0.003","0.008","0.011","0.0315","0.095","0.11","0.125","0.15","0.185","0.2825"
"02-23-2025 04:00","1740283204","0.003","0.0025","0.0045","0.0065","0.0125","0.0355","0.085","0.11","0.125","0.15","0.195","0.28"
"02-23-2025 05:00","1740286804","0.0035","0.0035","0.012","0.021","0.0165","0.0415","0.09","0.11","0.135","0.17","0.19","0.2425"
"02-23-2025 06:00","1740290404","0.0025","0.0035","0.007","0.013","0.0175","0.043","0.09","0.115","0.15","0.175","0.185","0.236"
"02-23-2025 07:00","1740294004","0.0025","0.0035","0.006","0.013","0.0115","0.039","0.09","0.115","0.15","0.18","0.18","0.2245"
"02-23-2025 08:00","1740297605","0.003","0.0035","0.004","0.012","0.0135","0.0425","0.09","0.115","0.15","0.195","0.18","0.1975"
"02-23-2025 09:00","1740301204","0.0025","0.0025","0.0025","0.0075","0.0135","0.058","0.09","0.13","0.155","0.19","0.185","0.193"
"02-23-2025 10:00","1740304804","0.0025","0.0025","0.003","0.005","0.0105","0.045","0.075","0.12","0.155","0.185","0.185","0.222"
"02-23-2025 11:00","1740308404","0.0025","0.0025","0.004","0.007","0.0135","0.0495","0.085","0.125","0.155","0.185","0.18","0.2155"
"02-23-2025 12:00","1740312004","0.0025","0.0025","0.004","0.0055","0.0135","0.039","0.08","0.12","0.145","0.185","0.175","0.2505"
"02-23-2025 13:00","1740315604","0.0025","0.0025","0.004","0.006","0.014","0.0445","0.08","0.125","0.145","0.175","0.18","0.2095"
"02-23-2025 14:00","1740319205","0.003","0.0025","0.0045","0.007","0.014","0.045","0.08","0.105","0.15","0.165","0.185","0.2705"
"02-23-2025 15:00","1740322804","0.0025","0.0015","0.0035","0.0065","0.007","0.036","0.06","0.09","0.145","0.175","0.185","0.2895"
"02-23-2025 16:00","1740326404","0.002","0.002","0.0025","0.005","0.0045","0.031","0.055","0.075","0.135","0.205","0.235","0.2775"
"02-23-2025 17:00","1740330004","0.002","0.002","0.0035","0.0055","0.0075","0.0365","0.065","0.085","0.135","0.205","0.225","0.2235"
"02-23-2025 18:00","1740333604","0.0015","0.0015","0.0035","0.0045","0.012","0.037","0.06","0.135","0.15","0.195","0.195","0.2165"
