"Date (UTC)","Timestamp (UTC)","<300","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550-574","575-599","600-624","625-649","650+"
"03-21-2025 17:00","1742576406","0.0395","0.0255","0.0305","0.055","0.075","0.115","0.105","0.105","0.095","0.115","0.085","0.075","0.035","0.0455","0.041","0.052"
"03-21-2025 18:00","1742580006","0.0415","0.021","0.0325","0.065","0.065","0.105","0.105","0.105","0.095","0.105","0.095","0.075","0.0405","0.0315","0.0265","0.0395"
"03-21-2025 19:00","1742583606","0.05","0.0235","0.032","0.055","0.065","0.105","0.11","0.105","0.105","0.115","0.095","0.07","0.0555","0.0325","0.026","0.0485"
"03-21-2025 20:00","1742587205","0.0465","0.0275","0.0355","0.06","0.06","0.115","0.115","0.115","0.095","0.115","0.09","0.06","0.038","0.029","0.0235","0.041"
"03-21-2025 21:00","1742590805","0.0565","0.0325","0.0335","0.055","0.075","0.115","0.125","0.12","0.095","0.115","0.095","0.055","0.0365","0.0325","0.0245","0.029"
"03-21-2025 22:00","1742594405","0.045","0.03","0.0335","0.055","0.075","0.115","0.125","0.115","0.105","0.105","0.085","0.055","0.037","0.029","0.0225","0.0225"
"03-21-2025 23:00","1742598005","0.055","0.0295","0.0345","0.055","0.09","0.11","0.12","0.11","0.105","0.095","0.085","0.055","0.036","0.0285","0.022","0.0215"
"03-22-2025 00:00","1742601606","0.049","0.032","0.0575","0.065","0.085","0.11","0.115","0.11","0.1","0.105","0.085","0.06","0.0375","0.0295","0.0215","0.023"
"03-22-2025 01:00","1742605205","0.0455","0.03","0.036","0.065","0.095","0.115","0.115","0.11","0.1","0.105","0.075","0.06","0.037","0.032","0.0195","0.022"
"03-22-2025 02:00","1742608805","0.042","0.034","0.0515","0.065","0.095","0.105","0.115","0.115","0.105","0.105","0.075","0.045","0.0355","0.0295","0.0165","0.016"
"03-22-2025 03:00","1742612405","0.041","0.033","0.053","0.065","0.095","0.115","0.115","0.11","0.1","0.105","0.075","0.055","0.0325","0.0255","0.016","0.018"
"03-22-2025 04:00","1742616005","0.028","0.032","0.045","0.055","0.095","0.115","0.115","0.115","0.105","0.105","0.085","0.055","0.0375","0.028","0.0155","0.023"
"03-22-2025 05:00","1742619605","0.0235","0.0285","0.042","0.055","0.095","0.115","0.115","0.115","0.105","0.105","0.085","0.055","0.0445","0.028","0.0185","0.0215"
"03-22-2025 06:00","1742623204","0.023","0.0235","0.0325","0.045","0.09","0.115","0.115","0.115","0.105","0.105","0.085","0.075","0.044","0.0255","0.019","0.0285"
"03-22-2025 07:00","1742626805","0.0315","0.024","0.0315","0.05","0.09","0.115","0.115","0.12","0.105","0.105","0.085","0.075","0.0345","0.0245","0.0175","0.027"
"03-22-2025 08:00","1742630405","0.0235","0.0205","0.0275","0.05","0.075","0.115","0.115","0.125","0.105","0.105","0.085","0.075","0.0345","0.0245","0.0195","0.0225"
"03-22-2025 09:00","1742634005","0.025","0.0225","0.0295","0.045","0.085","0.115","0.12","0.125","0.105","0.105","0.085","0.065","0.0365","0.0245","0.0175","0.0245"
"03-22-2025 10:00","1742637605","0.0255","0.0215","0.028","0.055","0.085","0.115","0.12","0.125","0.105","0.105","0.085","0.065","0.0365","0.0235","0.0145","0.0255"
"03-22-2025 11:00","1742641205","0.0245","0.0215","0.032","0.055","0.085","0.115","0.125","0.125","0.105","0.105","0.085","0.06","0.0365","0.0225","0.0145","0.0245"
"03-22-2025 12:00","1742644805","0.026","0.022","0.0355","0.055","0.085","0.115","0.125","0.125","0.105","0.095","0.075","0.055","0.0365","0.0235","0.0145","0.0265"
"03-22-2025 13:00","1742648405","0.029","0.0235","0.036","0.055","0.09","0.115","0.125","0.125","0.105","0.09","0.08","0.05","0.037","0.026","0.0195","0.0265"
"03-22-2025 14:00","1742652005","0.0265","0.0225","0.0315","0.055","0.085","0.115","0.125","0.125","0.105","0.095","0.075","0.055","0.0375","0.038","0.0295","0.0335"
"03-22-2025 15:00","1742655605","0.021","0.022","0.0275","0.055","0.095","0.115","0.125","0.125","0.105","0.105","0.085","0.05","0.036","0.0245","0.02","0.0305"
"03-22-2025 16:00","1742659205","0.0195","0.022","0.025","0.055","0.095","0.115","0.135","0.125","0.105","0.105","0.085","0.045","0.0375","0.0245","0.0225","0.0295"
"03-22-2025 17:00","1742662804","0.0105","0.0105","0.024","0.055","0.085","0.115","0.125","0.125","0.105","0.1","0.075","0.07","0.052","0.039","0.026","0.0375"
"03-22-2025 18:00","1742666406","0.011","0.0095","0.0225","0.05","0.055","0.115","0.125","0.115","0.115","0.11","0.075","0.065","0.038","0.0365","0.026","0.0385"
"03-22-2025 19:00","1742670005","0.012","0.0095","0.0225","0.06","0.055","0.115","0.125","0.115","0.115","0.105","0.095","0.065","0.0385","0.0275","0.025","0.039"
"03-22-2025 20:00","1742673604","0.0075","0.0065","0.017","0.0305","0.055","0.105","0.125","0.12","0.115","0.12","0.095","0.085","0.055","0.028","0.0195","0.042"
"03-22-2025 21:00","1742677205","0.0045","0.0045","0.0125","0.021","0.04","0.095","0.125","0.115","0.115","0.125","0.105","0.095","0.072","0.041","0.0265","0.0465"
"03-22-2025 22:00","1742680806","0.0035","0.0025","0.0075","0.017","0.0295","0.075","0.1","0.115","0.105","0.12","0.1","0.095","0.0825","0.0655","0.0325","0.0775"
"03-22-2025 23:00","1742684405","0.0035","0.003","0.0075","0.0145","0.0345","0.075","0.08","0.115","0.115","0.11","0.105","0.095","0.076","0.055","0.037","0.0815"
"03-23-2025 00:00","1742688006","0.005","0.003","0.0105","0.0185","0.0335","0.075","0.1","0.115","0.115","0.11","0.1","0.1","0.088","0.0575","0.039","0.0615"
"03-23-2025 01:00","1742691605","0.0045","0.0025","0.007","0.0145","0.034","0.065","0.085","0.115","0.125","0.115","0.105","0.105","0.096","0.0555","0.0525","0.063"
"03-23-2025 02:00","1742695204","0.0045","0.0025","0.004","0.0125","0.0325","0.065","0.075","0.115","0.125","0.135","0.11","0.105","0.098","0.056","0.041","0.0535"
"03-23-2025 03:00","1742698805","0.005","0.0025","0.004","0.012","0.0305","0.065","0.08","0.12","0.125","0.135","0.12","0.105","0.0955","0.054","0.0415","0.051"
