"Date (UTC)","Timestamp (UTC)","<250","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550+"
"01-24-2025 18:00","1737741604","0.5","0.14","0.145","0.165","0.165","0.155","0.155","0.165","0.165","0.15","0.495","0.5","0.5",""
"01-24-2025 19:00","1737745203","0.055","0.065","0.075","0.095","0.095","0.105","0.115","0.115","0.105","0.085","0.06","0.055","0.0395","0.045"
"01-24-2025 20:00","1737748804","0.055","0.06","0.07","0.095","0.105","0.105","0.11","0.115","0.105","0.075","0.075","0.05","0.0335","0.0455"
"01-24-2025 21:00","1737752404","0.055","0.055","0.075","0.095","0.105","0.1","0.11","0.115","0.105","0.075","0.07","0.055","0.032","0.0565"
"01-24-2025 22:00","1737756004","0.065","0.065","0.075","0.11","0.105","0.1","0.105","0.115","0.12","0.07","0.06","0.04","0.029","0.0435"
"01-24-2025 23:00","1737759603","0.065","0.06","0.08","0.105","0.105","0.095","0.105","0.115","0.105","0.07","0.065","0.047","0.027","0.0585"
"01-25-2025 00:00","1737763205","0.065","0.055","0.085","0.115","0.105","0.095","0.1","0.115","0.11","0.065","0.06","0.038","0.026","0.0405"
"01-25-2025 01:00","1737766804","0.065","0.06","0.1","0.105","0.105","0.095","0.095","0.115","0.11","0.065","0.06","0.037","0.023","0.038"
"01-25-2025 02:00","1737770404","0.075","0.065","0.115","0.105","0.105","0.1","0.095","0.105","0.1","0.065","0.045","0.032","0.0215","0.035"
"01-25-2025 03:00","1737774004","0.1","0.085","0.105","0.1","0.1","0.1","0.085","0.095","0.1","0.065","0.045","0.0325","0.021","0.0345"
"01-25-2025 04:00","1737777604","0.105","0.075","0.115","0.115","0.1","0.12","0.09","0.095","0.1","0.065","0.03","0.0245","0.018","0.026"
"01-25-2025 05:00","1737781204","0.105","0.085","0.115","0.095","0.105","0.11","0.09","0.09","0.095","0.065","0.0255","0.0165","0.014","0.025"
"01-25-2025 06:00","1737784804","0.11","0.085","0.115","0.095","0.105","0.105","0.095","0.095","0.1","0.065","0.027","0.0165","0.0165","0.029"
"01-25-2025 07:00","1737788404","0.105","0.085","0.115","0.095","0.105","0.11","0.095","0.095","0.095","0.055","0.027","0.0165","0.016","0.026"
"01-25-2025 08:00","1737792004","0.1","0.115","0.115","0.1","0.105","0.11","0.095","0.095","0.095","0.045","0.0235","0.0165","0.0155","0.0145"
"01-25-2025 09:00","1737795603","0.095","0.105","0.11","0.105","0.105","0.115","0.095","0.085","0.09","0.055","0.024","0.0175","0.0155","0.0235"
"01-25-2025 10:00","1737799205","0.12","0.125","0.12","0.11","0.11","0.105","0.095","0.085","0.075","0.05","0.0165","0.017","0.015","0.0235"
"01-25-2025 11:00","1737802804","0.16","0.1","0.125","0.11","0.11","0.095","0.09","0.085","0.065","0.05","0.018","0.0175","0.0145","0.0285"
"01-25-2025 12:00","1737806403","0.13","0.115","0.115","0.115","0.115","0.105","0.095","0.085","0.065","0.045","0.019","0.0175","0.0155","0.0155"
"01-25-2025 13:00","1737810004","0.13","0.11","0.12","0.125","0.115","0.105","0.095","0.085","0.06","0.0405","0.0205","0.019","0.0155","0.0245"
"01-25-2025 14:00","1737813604","0.12","0.1","0.105","0.105","0.105","0.11","0.095","0.085","0.06","0.0465","0.0395","0.029","0.022","0.019"
"01-25-2025 15:00","1737817203","0.1","0.095","0.105","0.11","0.11","0.11","0.095","0.085","0.06","0.049","0.037","0.029","0.0225","0.029"
"01-25-2025 16:00","1737820804","0.11","0.1","0.105","0.11","0.11","0.105","0.095","0.085","0.055","0.053","0.0365","0.0295","0.0225","0.023"
"01-25-2025 17:00","1737824404","0.1","0.1","0.105","0.115","0.115","0.115","0.095","0.085","0.06","0.0515","0.039","0.0305","0.0225","0.0215"
"01-25-2025 18:00","1737828004","0.095","0.105","0.105","0.115","0.115","0.115","0.095","0.085","0.055","0.0425","0.0355","0.027","0.0195","0.0175"
"01-25-2025 19:00","1737831603","0.1","0.105","0.105","0.115","0.115","0.115","0.095","0.08","0.055","0.0425","0.0355","0.027","0.0195","0.0165"
"01-25-2025 20:00","1737835204","0.115","0.105","0.105","0.115","0.115","0.115","0.095","0.085","0.055","0.0485","0.032","0.027","0.0195","0.016"
"01-25-2025 21:00","1737838804","0.125","0.105","0.105","0.115","0.115","0.11","0.095","0.075","0.055","0.043","0.0315","0.025","0.0175","0.0145"
"01-25-2025 22:00","1737842403","0.15","0.105","0.105","0.115","0.115","0.11","0.085","0.075","0.055","0.042","0.031","0.0235","0.016","0.013"
"01-25-2025 23:00","1737846003","0.155","0.105","0.105","0.115","0.115","0.095","0.075","0.065","0.045","0.04","0.0285","0.02","0.0125","0.013"
"01-26-2025 00:00","1737849604","0.165","0.105","0.105","0.125","0.115","0.095","0.07","0.065","0.045","0.04","0.0285","0.02","0.0125","0.013"
"01-26-2025 01:00","1737853204","0.165","0.115","0.115","0.115","0.115","0.095","0.07","0.065","0.045","0.0395","0.0275","0.02","0.016","0.0135"
"01-26-2025 02:00","1737856803","0.175","0.115","0.115","0.115","0.115","0.095","0.075","0.065","0.045","0.039","0.0305","0.0185","0.013","0.0145"
"01-26-2025 03:00","1737860404","0.2","0.115","0.115","0.115","0.115","0.095","0.075","0.065","0.045","0.035","0.0285","0.018","0.0105","0.0115"
"01-26-2025 04:00","1737864004","0.145","0.115","0.115","0.115","0.115","0.095","0.075","0.065","0.04","0.0365","0.028","0.018","0.012","0.0115"
"01-26-2025 05:00","1737867604","0.175","0.115","0.115","0.115","0.115","0.095","0.065","0.055","0.04","0.036","0.0275","0.0135","0.012","0.0115"
"01-26-2025 06:00","1737871203","0.175","0.12","0.115","0.115","0.115","0.095","0.06","0.055","0.035","0.0325","0.0235","0.013","0.0075","0.0065"
