"Date (UTC)","Timestamp (UTC)","<500","500-524","525-549","550-574","575-599","600-624","625-649","650-674","675-699","700-724","725-749","750+"
"02-03-2025 16:00","1738598404","0.5","0.5","0.5","0.5","0.5","0.5","0.5","","","","",""
"02-03-2025 17:00","1738602004","0.32","0.365","0.36","0.36","0.36","0.355","0.355","0.35","0.35","0.35","0.35","0.35"
"02-03-2025 18:00","1738605604","0.38","0.19","0.165","0.13","0.125","0.085","0.045","0.105","0.085","0.04","0.03","0.03"
"02-03-2025 19:00","1738609204","0.345","0.14","0.115","0.095","0.125","0.095","0.059","0.04","0.035","0.048","0.02","0.0125"
"02-03-2025 20:00","1738612804","0.17","0.115","0.105","0.135","0.12","0.105","0.1385","0.085","0.084","0.116","0.0445","0.0725"
"02-03-2025 21:00","1738616404","0.185","0.095","0.1","0.115","0.12","0.1","0.0695","0.065","0.0645","0.0535","0.0495","0.0585"
"02-03-2025 22:00","1738620004","0.195","0.09","0.1","0.11","0.12","0.11","0.065","0.07","0.0535","0.052","0.0465","0.045"
"02-03-2025 23:00","1738623604","0.23","0.13","0.1","0.105","0.095","0.095","0.073","0.075","0.0565","0.0475","0.047","0.0405"
"02-04-2025 00:00","1738627204","0.19","0.12","0.09","0.115","0.105","0.095","0.069","0.085","0.0575","0.0475","0.046","0.0535"
"02-04-2025 01:00","1738630804","0.17","0.125","0.095","0.115","0.115","0.1","0.076","0.085","0.0505","0.0425","0.046","0.051"
"02-04-2025 02:00","1738634404","0.17","0.125","0.095","0.115","0.115","0.1","0.0745","0.085","0.0495","0.0425","0.045","0.0495"
"02-04-2025 03:00","1738638004","0.23","0.12","0.095","0.11","0.115","0.095","0.0795","0.07","0.0445","0.0425","0.036","0.034"
"02-04-2025 04:00","1738641604","0.205","0.125","0.09","0.11","0.115","0.12","0.0815","0.08","0.037","0.036","0.035","0.0325"
"02-04-2025 05:00","1738645204","0.16","0.1","0.11","0.105","0.11","0.115","0.1","0.105","0.053","0.0525","0.044","0.0325"
"02-04-2025 06:00","1738648804","0.17","0.13","0.1","0.11","0.115","0.105","0.1025","0.065","0.045","0.057","0.0545","0.068"
"02-04-2025 07:00","1738652404","0.22","0.115","0.1","0.115","0.105","0.09","0.088","0.06","0.039","0.023","0.0115","0.011"
"02-04-2025 08:00","1738656004","0.16","0.105","0.095","0.135","0.135","0.12","0.0995","0.07","0.047","0.0235","0.011","0.0395"
"02-04-2025 09:00","1738659605","0.09","0.095","0.095","0.15","0.135","0.125","0.117","0.075","0.056","0.0275","0.019","0.04"
"02-04-2025 10:00","1738663204","0.08","0.105","0.095","0.125","0.13","0.125","0.119","0.085","0.062","0.0405","0.0305","0.0365"
"02-04-2025 11:00","1738666804","0.08","0.105","0.095","0.115","0.14","0.125","0.12","0.095","0.07","0.044","0.0315","0.0325"
"02-04-2025 12:00","1738670404","0.1","0.09","0.095","0.12","0.135","0.125","0.123","0.085","0.074","0.047","0.03","0.03"
"02-04-2025 13:00","1738674004","0.11","0.075","0.125","0.14","0.14","0.145","0.1225","0.08","0.0525","0.038","0.029","0.025"
"02-04-2025 14:00","1738677603","0.085","0.105","0.105","0.125","0.125","0.135","0.1235","0.085","0.0565","0.0395","0.0315","0.0245"
"02-04-2025 15:00","1738681204","0.085","0.085","0.105","0.145","0.145","0.135","0.114","0.075","0.0545","0.0415","0.0305","0.023"
"02-04-2025 16:00","1738684804","0.085","0.085","0.105","0.155","0.135","0.125","0.1105","0.085","0.065","0.038","0.0365","0.023"
"02-04-2025 17:00","1738688404","0.05","0.085","0.095","0.15","0.13","0.13","0.1135","0.095","0.086","0.0465","0.043","0.0265"
"02-04-2025 18:00","1738692005","0.03","0.055","0.09","0.1","0.145","0.15","0.1355","0.125","0.086","0.0585","0.0405","0.0345"
"02-04-2025 19:00","1738695603","0.0065","0.035","0.07","0.09","0.095","0.145","0.1395","0.135","0.1125","0.091","0.056","0.0555"
"02-04-2025 20:00","1738699204","0.009","0.029","0.07","0.095","0.115","0.135","0.1345","0.14","0.1075","0.091","0.0575","0.056"
"02-04-2025 21:00","1738702804","0.0115","0.023","0.055","0.09","0.1","0.125","0.114","0.145","0.132","0.148","0.0645","0.0615"
"02-04-2025 22:00","1738706404","0.0085","0.03","0.055","0.08","0.125","0.155","0.118","0.135","0.1275","0.108","0.0515","0.059"
"02-04-2025 23:00","1738710004","0.01","0.029","0.055","0.085","0.13","0.14","0.1245","0.125","0.1275","0.106","0.052","0.0425"
"02-05-2025 00:00","1738713604","0.011","0.027","0.05","0.085","0.13","0.155","0.1405","0.13","0.1345","0.103","0.0525","0.05"
"02-05-2025 01:00","1738717204","0.0125","0.022","0.05","0.085","0.12","0.145","0.135","0.125","0.1345","0.106","0.0645","0.054"
"02-05-2025 02:00","1738720804","0.0085","0.0175","0.055","0.09","0.12","0.14","0.1595","0.13","0.1315","0.1025","0.0535","0.059"
"02-05-2025 03:00","1738724405","0.005","0.016","0.045","0.075","0.105","0.115","0.152","0.135","0.13","0.1165","0.052","0.058"
"02-05-2025 04:00","1738728004","0.005","0.0155","0.06","0.085","0.105","0.11","0.1405","0.13","0.144","0.1195","0.0955","0.0515"
"02-05-2025 05:00","1738731604","0.0025","0.012","0.06","0.075","0.105","0.135","0.1375","0.13","0.1475","0.125","0.0655","0.0505"
"02-05-2025 06:00","1738735204","0.0025","0.0135","0.045","0.09","0.13","0.14","0.138","0.135","0.1485","0.106","0.0695","0.0335"
"02-05-2025 07:00","1738738804","0.003","0.014","0.05","0.075","0.13","0.16","0.1385","0.135","0.127","0.0775","0.037","0.0285"
"02-05-2025 08:00","1738742404","0.0035","0.0115","0.045","0.115","0.15","0.15","0.149","0.13","0.108","0.0735","0.035","0.026"
"02-05-2025 09:00","1738746005","0.003","0.0115","0.075","0.135","0.16","0.155","0.1785","0.14","0.104","0.057","0.0225","0.015"
"02-05-2025 10:00","1738749604","0.0035","0.012","0.045","0.13","0.155","0.155","0.178","0.17","0.124","0.0405","0.0165","0.011"
"02-05-2025 11:00","1738753204","0.0025","0.0145","0.05","0.13","0.155","0.155","0.1595","0.165","0.1315","0.043","0.0305","0.0145"
"02-05-2025 12:00","1738756804","0.0025","0.0065","0.055","0.11","0.135","0.155","0.1685","0.165","0.1355","0.058","0.026","0.014"
"02-05-2025 13:00","1738760405","0.002","0.014","0.055","0.105","0.135","0.155","0.176","0.165","0.1325","0.055","0.0225","0.017"
"02-05-2025 14:00","1738764004","0.003","0.0125","0.06","0.105","0.165","0.185","0.1805","0.15","0.097","0.036","0.016","0.015"
"02-05-2025 15:00","1738767604","0.003","0.008","0.045","0.115","0.145","0.175","0.158","0.165","0.1345","0.0585","0.024","0.017"
"02-05-2025 16:00","1738771204","0.002","0.0065","0.0325","0.07","0.14","0.17","0.1675","0.17","0.154","0.0635","0.0225","0.0215"
