"Date (UTC)","Timestamp (UTC)","<100","100-109","110-119","120-129","130-139","140-149","150-159","160-169","170-179","180-189","190-199","200-209","210-219","220-229","230-239","240-249","250+"
"04-07-2025 21:00","1744059606","0.08","0.08","0.1","0.09","0.1","0.085","0.085","0.08","0.07","0.075","0.07","0.07","0.07","0.075","0.075","0.075","0.19"
"04-07-2025 22:00","1744063206","0.05","0.0305","0.06","0.1","0.095","0.07","0.065","0.07","0.055","0.065","0.065","0.06","0.045","0.045","0.045","0.05","0.21"
"04-07-2025 23:00","1744066806","0.025","0.0325","0.07","0.105","0.13","0.085","0.065","0.075","0.05","0.0255","0.025","0.055","0.055","0.055","0.0245","0.015","0.195"
"04-08-2025 00:00","1744070406","0.036","0.027","0.05","0.105","0.135","0.09","0.095","0.065","0.05","0.037","0.0425","0.043","0.05","0.045","0.045","0.023","0.245"
"04-08-2025 01:00","1744074005","0.0315","0.025","0.035","0.1","0.13","0.105","0.085","0.075","0.04","0.0365","0.0415","0.0405","0.05","0.045","0.045","0.03","0.27"
"04-08-2025 02:00","1744077606","0.0195","0.016","0.055","0.065","0.135","0.155","0.095","0.095","0.069","0.041","0.0425","0.045","0.0345","0.0215","0.0495","0.039","0.26"
"04-08-2025 03:00","1744081206","0.005","0.011","0.039","0.075","0.125","0.135","0.13","0.09","0.0535","0.0515","0.037","0.0455","0.0245","0.022","0.037","0.0275","0.255"
"04-08-2025 04:00","1744084806","0.0075","0.0055","0.036","0.09","0.16","0.145","0.12","0.095","0.0635","0.051","0.041","0.0345","0.019","0.02","0.03","0.02","0.24"
"04-08-2025 05:00","1744088405","0.006","0.0055","0.0365","0.06","0.125","0.155","0.13","0.115","0.059","0.056","0.039","0.0485","0.0235","0.023","0.031","0.0215","0.235"
"04-08-2025 06:00","1744092006","0.004","0.0035","0.021","0.045","0.095","0.135","0.14","0.105","0.056","0.06","0.048","0.0515","0.0305","0.0295","0.033","0.0425","0.285"
"04-08-2025 07:00","1744095606","0.0015","0.003","0.009","0.049","0.0775","0.1","0.12","0.11","0.065","0.0595","0.0525","0.048","0.047","0.037","0.054","0.039","0.39"
"04-08-2025 08:00","1744099206","0.0015","0.003","0.009","0.0475","0.073","0.095","0.12","0.11","0.064","0.059","0.0525","0.042","0.047","0.059","0.0375","0.0465","0.29"
"04-08-2025 09:00","1744102805","0.002","0.006","0.0245","0.067","0.084","0.095","0.105","0.105","0.0675","0.0495","0.0525","0.043","0.042","0.047","0.0355","0.055","0.27"
"04-08-2025 10:00","1744106405","0.0015","0.0075","0.0235","0.0645","0.0815","0.095","0.105","0.11","0.0675","0.061","0.052","0.041","0.042","0.0435","0.032","0.0395","0.255"
"04-08-2025 11:00","1744110006","0.0005","0.0045","0.0185","0.042","0.059","0.075","0.08","0.085","0.1035","0.0585","0.0505","0.045","0.043","0.0245","0.0315","0.037","0.315"
"04-08-2025 12:00","1744113606","0.0005","0.003","0.0115","0.031","0.059","0.065","0.09","0.085","0.095","0.061","0.05","0.046","0.043","0.0355","0.038","0.0285","0.325"
"04-08-2025 13:00","1744117206","0.0005","0.002","0.008","0.0265","0.056","0.06","0.085","0.085","0.0795","0.0695","0.0675","0.067","0.0575","0.0535","0.038","0.0405","0.28"
"04-08-2025 14:00","1744120806","0.0005","0.0025","0.012","0.021","0.055","0.06","0.085","0.08","0.12","0.0855","0.0765","0.05","0.043","0.037","0.0355","0.029","0.31"
"04-08-2025 15:00","1744124405","0.0005","0.002","0.0105","0.0175","0.055","0.06","0.08","0.095","0.13","0.082","0.0795","0.0555","0.0605","0.0485","0.0495","0.0345","0.265"
"04-08-2025 16:00","1744128006","0.0005","0.0025","0.0105","0.032","0.055","0.06","0.08","0.09","0.1155","0.081","0.0795","0.058","0.048","0.045","0.0375","0.0325","0.28"
"04-08-2025 17:00","1744131605","0.001","0.0075","0.0145","0.0525","0.0725","0.065","0.095","0.09","0.116","0.0855","0.0565","0.08","0.0465","0.041","0.0325","0.031","0.205"
"04-08-2025 18:00","1744135205","0.0015","0.0105","0.024","0.0595","0.0765","0.07","0.09","0.095","0.1165","0.077","0.0445","0.0635","0.044","0.0375","0.0315","0.0295","0.175"
"04-08-2025 19:00","1744138806","0.001","0.016","0.027","0.0695","0.0455","0.065","0.085","0.105","0.1165","0.076","0.052","0.059","0.046","0.0585","0.0315","0.025","0.195"
"04-08-2025 20:00","1744142405","0.0005","0.006","0.027","0.0535","0.068","0.065","0.08","0.095","0.105","0.0765","0.0595","0.0585","0.046","0.04","0.032","0.0245","0.21"
"04-08-2025 21:00","1744146006","0.0005","0.005","0.022","0.049","0.053","0.065","0.075","0.1","0.1095","0.0825","0.0615","0.069","0.0465","0.0425","0.031","0.025","0.2"
"04-08-2025 22:00","1744149605","0.0005","0.0035","0.013","0.0465","0.053","0.085","0.085","0.11","0.104","0.0995","0.0735","0.0645","0.0695","0.059","0.036","0.03","0.18"
"04-08-2025 23:00","1744153205","0.0005","0.003","0.01","0.034","0.0405","0.075","0.085","0.115","0.1005","0.116","0.0795","0.061","0.063","0.06","0.04","0.03","0.16"
"04-09-2025 00:00","1744156806","0.0005","0.003","0.0095","0.0285","0.04","0.085","0.125","0.12","0.1115","0.117","0.076","0.059","0.05","0.0565","0.038","0.03","0.135"
"04-09-2025 01:00","1744160406","","0.005","0.012","0.034","0.0515","0.09","0.125","0.125","0.0985","0.1145","0.082","0.0505","0.047","0.0475","0.034","0.026","0.13"
"04-09-2025 02:00","1744164006","","0.0035","0.016","0.055","0.108","0.075","0.105","0.115","0.0985","0.096","0.069","0.048","0.0455","0.046","0.033","0.024","0.125"
"04-09-2025 03:00","1744167606","","0.0105","0.023","0.063","0.084","0.13","0.105","0.115","0.096","0.082","0.0785","0.042","0.0345","0.0395","0.0325","0.0225","0.125"
"04-09-2025 04:00","1744171206","","0.0065","0.036","0.0725","0.091","0.115","0.1","0.11","0.108","0.075","0.0585","0.0375","0.035","0.038","0.0325","0.0225","0.125"
"04-09-2025 05:00","1744174806","","0.0145","0.035","0.066","0.0905","0.095","0.125","0.125","0.0985","0.0545","0.055","0.031","0.032","0.0375","0.0225","0.021","0.125"
"04-09-2025 06:00","1744178405","","0.0145","0.026","0.053","0.0955","0.095","0.135","0.125","0.0955","0.062","0.0555","0.0385","0.0295","0.0365","0.0255","0.0185","0.125"
