"Date (UTC)","Timestamp (UTC)","<800","800-824","825-849","850-874","875-899","900-924","925-949","950-974","975-999","1000-1024","1025-1049","1050-1074","1075-1099","1100+"
"02-12-2025 02:00","1739325604","","","","","","","","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"02-12-2025 03:00","1739329204","0.29","0.265","0.3","0.275","0.11","0.11","0.09","0.09","0.25","0.25","0.25","0.015","0.25","0.25"
"02-12-2025 04:00","1739332804","0.245","0.26","0.175","0.18","0.16","0.125","0.055","0.055","0.095","0.03","0.0255","0.015","0.03","0.025"
"02-12-2025 05:00","1739336403","0.205","0.26","0.175","0.165","0.155","0.115","0.1","0.095","0.075","0.0295","0.025","0.0295","0.0295","0.0295"
"02-12-2025 06:00","1739340004","0.32","0.2","0.17","0.225","0.17","0.15","0.14","0.115","0.07","0.0285","0.0235","0.0285","0.024","0.027"
"02-12-2025 07:00","1739343604","0.14","0.22","0.16","0.195","0.16","0.105","0.0705","0.07","0.0255","0.015","0.018","0.0145","0.013","0.0205"
"02-12-2025 08:00","1739347204","0.135","0.205","0.205","0.145","0.085","0.1","0.095","0.07","0.029","0.0085","0.004","0.004","0.0145","0.011"
"02-12-2025 09:00","1739350804","0.175","0.14","0.14","0.11","0.13","0.125","0.0945","0.07","0.0305","0.0165","0.0155","0.0085","0.0055","0.006"
"02-12-2025 10:00","1739354404","0.195","0.13","0.13","0.11","0.12","0.12","0.091","0.07","0.0415","0.017","0.0155","0.0085","0.0045","0.0035"
"02-12-2025 11:00","1739358004","0.195","0.13","0.14","0.125","0.13","0.115","0.0885","0.065","0.0395","0.014","0.0185","0.0075","0.004","0.0035"
"02-12-2025 12:00","1739361604","0.185","0.155","0.145","0.145","0.125","0.11","0.069","0.055","0.031","0.016","0.011","0.005","0.004","0.0045"
"02-12-2025 13:00","1739365204","0.175","0.15","0.165","0.13","0.115","0.11","0.0865","0.065","0.033","0.018","0.0095","0.005","0.004","0.004"
"02-12-2025 14:00","1739368804","0.175","0.155","0.165","0.135","0.135","0.075","0.062","0.055","0.033","0.0145","0.012","0.0035","0.0035","0.0025"
"02-12-2025 15:00","1739372404","0.195","0.17","0.165","0.135","0.125","0.075","0.0595","0.0345","0.0255","0.0165","0.012","0.0045","0.004","0.0025"
"02-12-2025 16:00","1739376004","0.145","0.175","0.165","0.165","0.125","0.085","0.0735","0.053","0.0245","0.0155","0.009","0.0075","0.004","0.0035"
"02-12-2025 17:00","1739379604","0.13","0.165","0.175","0.13","0.14","0.09","0.094","0.0615","0.0305","0.0195","0.009","0.0045","0.0045","0.0045"
"02-12-2025 18:00","1739383205","0.125","0.17","0.185","0.14","0.145","0.09","0.0855","0.0505","0.0325","0.023","0.013","0.007","0.005","0.007"
"02-12-2025 19:00","1739386805","0.095","0.15","0.15","0.14","0.145","0.15","0.08","0.0505","0.0535","0.021","0.013","0.007","0.0045","0.0025"
"02-12-2025 20:00","1739390404","0.095","0.12","0.155","0.185","0.15","0.145","0.092","0.0645","0.0335","0.0205","0.0085","0.005","0.0045","0.0025"
"02-12-2025 21:00","1739394004","0.085","0.125","0.185","0.17","0.155","0.13","0.106","0.0705","0.042","0.021","0.008","0.0045","0.0035","0.0025"
"02-12-2025 22:00","1739397604","0.095","0.105","0.165","0.185","0.185","0.12","0.0745","0.044","0.0345","0.018","0.007","0.004","0.004","0.0025"
"02-12-2025 23:00","1739401204","0.11","0.155","0.125","0.17","0.185","0.11","0.0715","0.0405","0.025","0.014","0.007","0.004","0.004","0.0025"
"02-13-2025 00:00","1739404804","0.095","0.125","0.135","0.175","0.185","0.125","0.0855","0.0365","0.026","0.014","0.0065","0.004","0.004","0.0035"
"02-13-2025 01:00","1739408404","0.08","0.105","0.135","0.18","0.195","0.135","0.101","0.0375","0.0245","0.0145","0.0075","0.004","0.004","0.0035"
"02-13-2025 02:00","1739412004","0.075","0.105","0.14","0.165","0.195","0.145","0.135","0.0415","0.0235","0.0145","0.0075","0.004","0.004","0.0035"
"02-13-2025 03:00","1739415604","0.055","0.115","0.155","0.175","0.175","0.145","0.124","0.0415","0.025","0.012","0.007","0.0035","0.003","0.0035"
"02-13-2025 04:00","1739419204","0.05","0.11","0.135","0.185","0.2","0.13","0.105","0.046","0.029","0.0135","0.0095","0.0045","0.0025","0.004"
"02-13-2025 05:00","1739422804","0.055","0.1","0.135","0.205","0.19","0.125","0.0925","0.0555","0.03","0.0145","0.008","0.0035","0.0025","0.003"
"02-13-2025 06:00","1739426404","0.04","0.08","0.18","0.205","0.21","0.135","0.086","0.049","0.03","0.016","0.0075","0.0045","0.0025","0.003"
"02-13-2025 07:00","1739430003","0.012","0.05","0.1","0.16","0.195","0.185","0.1635","0.083","0.04","0.022","0.0125","0.006","0.0025","0.0025"
"02-13-2025 08:00","1739433605","0.01","0.05","0.115","0.17","0.225","0.19","0.1395","0.065","0.0305","0.019","0.0115","0.005","0.002","0.002"
"02-13-2025 09:00","1739437204","0.008","0.035","0.095","0.165","0.275","0.215","0.1105","0.065","0.0355","0.022","0.012","0.005","0.0025","0.0025"
"02-13-2025 10:00","1739440804","0.0005","0.0085","0.035","0.09","0.13","0.135","0.214","0.1875","0.111","0.05","0.025","0.013","0.0045","0.0045"
"02-13-2025 11:00","1739444404","0.0005","0.0065","0.0355","0.09","0.15","0.175","0.229","0.1605","0.082","0.054","0.031","0.0135","0.006","0.0035"
"02-13-2025 12:00","1739448004","0.0015","0.006","0.0355","0.09","0.145","0.165","0.22","0.144","0.087","0.0715","0.036","0.0135","0.0065","0.0195"
"02-13-2025 13:00","1739451604","0.0015","0.0065","0.0265","0.085","0.185","0.185","0.2185","0.142","0.087","0.053","0.023","0.009","0.0035","0.004"
"02-13-2025 14:00","1739455204","0.0005","0.0065","0.0255","0.085","0.175","0.205","0.2205","0.1485","0.0805","0.052","0.0225","0.008","0.004","0.0035"
"02-13-2025 15:00","1739458804","0.001","0.0055","0.027","0.1","0.17","0.17","0.24","0.2055","0.085","0.0355","0.021","0.0075","0.0035","0.003"
"02-13-2025 16:00","1739462404","0.0005","0.0025","0.008","0.06","0.14","0.155","0.2185","0.2325","0.105","0.0725","0.019","0.009","0.0035","0.003"
"02-13-2025 17:00","1739466004","0.0005","0.0005","0.0025","0.05","0.135","0.155","0.2485","0.2275","0.118","0.0565","0.0165","0.0055","0.004","0.0035"
"02-13-2025 18:00","1739469604","0.0005","0.0005","0.0035","0.0375","0.14","0.17","0.283","0.2445","0.0995","0.0345","0.0125","0.0055","0.0015","0.0015"
"02-13-2025 19:00","1739473204","0.0005","0.003","0.014","0.043","0.175","0.235","0.235","0.226","0.085","0.0165","0.007","0.004","0.0015","0.0005"
"02-13-2025 20:00","1739476804","","0.0025","0.017","0.0895","0.245","0.265","0.207","0.1355","0.064","0.012","0.003","0.003","0.0015","0.0005"
"02-13-2025 21:00","1739480404","","0.0005","0.0025","0.03","0.155","0.195","0.276","0.1895","0.0835","0.0175","0.007","0.0025","0.001","0.0005"
"02-13-2025 22:00","1739484004","","0.0005","0.0035","0.067","0.215","0.265","0.274","0.1645","0.0615","0.016","0.005","0.0025","0.0025","0.0005"
"02-13-2025 23:00","1739487604","","0.0005","0.007","0.035","0.22","0.28","0.2665","0.1215","0.037","0.0095","0.0035","0.0025","0.002","0.0005"
"02-14-2025 00:00","1739491205","","0.0005","0.009","0.027","0.215","0.29","0.2715","0.1635","0.036","0.01","0.0045","0.0025","0.0015","0.0005"
"02-14-2025 01:00","1739494804","","0.0005","0.0145","0.06","0.205","0.295","0.2555","0.111","0.0295","0.012","0.005","0.0025","0.0005","0.0005"
"02-14-2025 02:00","1739498404","","","0.0205","0.129","0.24","0.315","0.2265","0.0765","0.029","0.0085","0.003","0.002","0.0005","0.0005"
"02-14-2025 03:00","1739502004","","","0.0265","0.1775","0.265","0.25","0.182","0.0735","0.027","0.0135","0.0025","0.002","0.0005","0.0025"
"02-14-2025 04:00","1739505604","","","0.019","0.2165","0.285","0.23","0.156","0.0635","0.0235","0.006","0.0025","0.002","0.0015","0.002"
"02-14-2025 05:00","1739509204","","","0.055","0.2795","0.27","0.205","0.1315","0.0295","0.0105","0.0045","0.0025","0.001","0.0005","0.001"
"02-14-2025 06:00","1739512804","","","0.0005","0.105","0.275","0.33","0.192","0.059","0.022","0.0045","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 07:00","1739516404","","","0.0005","0.078","0.325","0.265","0.193","0.063","0.0245","0.0055","0.002","0.0005","0.0005","0.0005"
"02-14-2025 08:00","1739520004","","","0.0005","0.173","0.43","0.235","0.0915","0.017","0.0095","0.002","0.001","0.0005","0.0005","0.0005"
"02-14-2025 09:00","1739523604","","","0.0005","0.156","0.455","0.29","0.0735","0.0095","0.0045","0.0015","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 10:00","1739527204","","","0.0005","0.1995","0.46","0.245","0.0645","0.0135","0.0025","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 11:00","1739530804","","","","0.1675","0.465","0.28","0.067","0.01","0.0035","0.0015","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 12:00","1739534404","","","","0.263","0.465","0.255","0.0215","0.0075","0.002","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 13:00","1739538004","","","","0.239","0.525","0.145","0.0265","0.004","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 14:00","1739541603","","","","0.397","0.5","0.115","0.0095","0.0035","0.0015","0.0015","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 15:00","1739545204","","","","0.5865","0.375","0.0105","0.0055","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 16:00","1739548804","","","","0.2845","0.69","0.01","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 17:00","1739552404","","","","0.998","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 18:00","1739556005","","","","0.9995","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 19:00","1739559605","","","","0.9995","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 20:00","1739563205","","","","0.9995","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"02-14-2025 21:00","1739566804","","","","0.9995","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
