"Date (UTC)","Timestamp (UTC)","<300","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550-574","575-599","600-624","625-649","650+"
"03-28-2025 16:00","1743177606","0.45","0.02","0.02","0.02","0.505","0.525","0.545","0.155","0.13","0.13","0.575","0.505","0.505","0.495","0.025","0.035"
"03-28-2025 17:00","1743181206","0.0195","0.015","0.015","0.0255","0.041","0.075","0.14","0.135","0.15","0.125","0.12","0.09","0.055","0.03","0.0245","0.044"
"03-28-2025 18:00","1743184806","0.016","0.0155","0.0155","0.0225","0.045","0.075","0.13","0.135","0.155","0.125","0.105","0.085","0.06","0.028","0.0215","0.0385"
"03-28-2025 19:00","1743188406","0.0155","0.0155","0.021","0.027","0.0285","0.065","0.11","0.13","0.155","0.14","0.105","0.09","0.07","0.0305","0.0255","0.0465"
"03-28-2025 20:00","1743192006","0.0165","0.0145","0.0205","0.0295","0.04","0.065","0.11","0.13","0.16","0.14","0.1","0.08","0.065","0.032","0.0245","0.0475"
"03-28-2025 21:00","1743195605","0.0155","0.0145","0.0205","0.028","0.0455","0.08","0.11","0.13","0.15","0.14","0.105","0.075","0.055","0.029","0.0205","0.037"
"03-28-2025 22:00","1743199205","0.0155","0.014","0.023","0.0315","0.053","0.08","0.12","0.13","0.155","0.155","0.105","0.075","0.055","0.0285","0.021","0.0355"
"03-28-2025 23:00","1743202806","0.015","0.0115","0.022","0.0345","0.0435","0.075","0.115","0.13","0.135","0.135","0.105","0.075","0.05","0.026","0.018","0.03"
"03-29-2025 00:00","1743206406","0.02","0.0125","0.024","0.032","0.0435","0.075","0.115","0.125","0.135","0.135","0.105","0.075","0.055","0.029","0.017","0.029"
"03-29-2025 01:00","1743210006","0.0185","0.016","0.0245","0.033","0.043","0.085","0.115","0.135","0.135","0.135","0.105","0.075","0.05","0.0275","0.017","0.029"
"03-29-2025 02:00","1743213605","0.012","0.0125","0.0155","0.026","0.0375","0.085","0.115","0.135","0.135","0.135","0.105","0.075","0.06","0.036","0.031","0.037"
"03-29-2025 03:00","1743217206","0.011","0.0125","0.014","0.021","0.036","0.085","0.115","0.135","0.135","0.135","0.105","0.075","0.06","0.0365","0.032","0.039"
"03-29-2025 04:00","1743220806","0.0115","0.0115","0.0155","0.0195","0.0355","0.095","0.115","0.135","0.135","0.135","0.105","0.075","0.055","0.034","0.03","0.0395"
"03-29-2025 05:00","1743224405","0.0105","0.0085","0.0155","0.0145","0.0295","0.085","0.11","0.125","0.135","0.135","0.105","0.075","0.065","0.0315","0.0285","0.0375"
